exp_id,alg,episodes,gamma,reward_signal,epsilon,epsilon_decay,lr,lr_decay,reward_train,reward_test,time,optimality
REINFORCE,150.0,4000,0.99,custom,0.0,none,0.1,0.99,-1692.4975,-1812.3,5.8366,26
REINFORCE,151.0,4000,0.99,custom,0.0,none,0.1,0.5,-1095.03,-803.65,5.7434,26
REINFORCE,152.0,4000,0.99,custom,0.0,none,0.01,0.99,-1545.6327,-1080.1,5.8219,30
REINFORCE,153.0,4000,0.99,custom,0.0,none,0.01,0.5,-808.8592,-857.35,5.7357,30
REINFORCE,154.0,4000,0.99,custom,0.0,none,0.001,0.99,-1013.2708,-189.1,5.7624,27
REINFORCE,155.0,4000,0.99,custom,0.0,none,0.001,0.5,-833.875,-481.15,5.7728,31
REINFORCE,156.0,4000,0.75,default,0.0,none,0.1,0.99,-351.698,-218.7,5.6128,22
REINFORCE,157.0,4000,0.75,default,0.0,none,0.1,0.5,-311.7845,-179.2,5.6691,30
REINFORCE,158.0,4000,0.75,default,0.0,none,0.01,0.99,-203.5488,-103.2,5.6809,25
REINFORCE,159.0,4000,0.75,default,0.0,none,0.01,0.5,-505.9943,-278.2,5.7217,30
REINFORCE,160.0,4000,0.75,default,0.0,none,0.001,0.99,-409.377,-119.8,5.7359,30
REINFORCE,161.0,4000,0.75,default,0.0,none,0.001,0.5,-791.6413,-184.15,5.748,28
REINFORCE,162.0,4000,0.75,custom,0.0,none,0.1,0.99,-253.1757,-200.1,5.6295,26
REINFORCE,163.0,4000,0.75,custom,0.0,none,0.1,0.5,-283.6248,-298.0,5.816,28
REINFORCE,164.0,4000,0.75,custom,0.0,none,0.01,0.99,-194.0453,-100.0,5.8042,28
REINFORCE,165.0,4000,0.75,custom,0.0,none,0.01,0.5,-394.7035,-436.6,5.871,30
REINFORCE,166.0,4000,0.75,custom,0.0,none,0.001,0.99,-404.7233,-100.0,5.8346,25
REINFORCE,167.0,4000,0.75,custom,0.0,none,0.001,0.5,-833.3267,-322.75,5.9118,31
REINFORCE,168.0,4000,0.5,default,0.0,none,0.1,0.99,-105.6257,-100.0,5.7188,22
REINFORCE,169.0,4000,0.5,default,0.0,none,0.1,0.5,-251.2523,-273.25,5.7951,27
REINFORCE,170.0,4000,0.5,default,0.0,none,0.01,0.99,-165.6283,-100.0,5.7697,24
REINFORCE,171.0,4000,0.5,default,0.0,none,0.01,0.5,-725.8098,-208.9,5.7581,27
REINFORCE,172.0,4000,0.5,default,0.0,none,0.001,0.99,-334.8825,-97.65,5.8026,26
REINFORCE,173.0,4000,0.5,default,0.0,none,0.001,0.5,-895.626,-431.65,5.8553,30
REINFORCE,174.0,4000,0.5,custom,0.0,none,0.1,0.99,-102.6737,-100.0,5.8462,24
REINFORCE,175.0,4000,0.5,custom,0.0,none,0.1,0.5,-881.9277,-679.15,5.8882,28
REINFORCE,176.0,4000,0.5,custom,0.0,none,0.01,0.99,-168.0125,-100.0,5.8887,27
REINFORCE,177.0,4000,0.5,custom,0.0,none,0.01,0.5,-356.9232,-144.55,5.9955,31
REINFORCE,178.0,4000,0.5,custom,0.0,none,0.001,0.99,-334.94,-119.8,5.9027,29
REINFORCE,179.0,4000,0.5,custom,0.0,none,0.001,0.5,-977.0145,-248.5,5.9421,26
REINFORCE,180.0,4000,0.25,default,0.0,none,0.1,0.99,-103.7108,-100.0,5.855,24
REINFORCE,181.0,4000,0.25,default,0.0,none,0.1,0.5,-301.2105,-199.0,5.9291,26
REINFORCE,182.0,4000,0.25,default,0.0,none,0.01,0.99,-154.556,-100.0,5.8757,25
REINFORCE,183.0,4000,0.25,default,0.0,none,0.01,0.5,-376.555,-278.2,5.951,27
REINFORCE,184.0,4000,0.25,default,0.0,none,0.001,0.99,-333.808,-100.0,5.891,23
REINFORCE,185.0,4000,0.25,default,0.0,none,0.001,0.5,-968.487,-406.9,5.883,25
REINFORCE,186.0,4000,0.25,custom,0.0,none,0.1,0.99,-103.207,-100.0,5.8687,23
REINFORCE,187.0,4000,0.25,custom,0.0,none,0.1,0.5,-281.198,-199.0,5.7745,23
REINFORCE,188.0,4000,0.25,custom,0.0,none,0.01,0.99,-153.3738,-100.0,5.7445,26
REINFORCE,189.0,4000,0.25,custom,0.0,none,0.01,0.5,-446.8605,-129.7,5.7234,30
REINFORCE,190.0,4000,0.25,custom,0.0,none,0.001,0.99,-325.2915,-100.0,5.8578,24
REINFORCE,191.0,4000,0.25,custom,0.0,none,0.001,0.5,-975.5395,-273.25,5.8391,25
REINFORCE,192.0,10000,0.99,default,0.0,none,0.1,0.99,-947.5926,-788.05,14.7815,25
REINFORCE,193.0,10000,0.99,default,0.0,none,0.1,0.5,-711.1687,-867.25,15.1381,28
REINFORCE,194.0,10000,0.99,default,0.0,none,0.01,0.99,-1034.4461,-696.9,14.4211,28
REINFORCE,195.0,10000,0.99,default,0.0,none,0.01,0.5,-1165.5217,-946.45,14.482,28
REINFORCE,196.0,10000,0.99,default,0.0,none,0.001,0.99,-990.6186,-139.6,14.6143,30
REINFORCE,197.0,10000,0.99,default,0.0,none,0.001,0.5,-1160.7752,-1847.35,14.5048,30
REINFORCE,198.0,10000,0.99,custom,0.0,none,0.1,0.99,-1707.6798,-1387.0,14.477,29
REINFORCE,199.0,10000,0.99,custom,0.0,none,0.1,0.5,-487.8335,-367.3,14.7566,28
REINFORCE,200.0,10000,0.99,custom,0.0,none,0.01,0.99,-1395.118,-1589.95,14.8622,30
REINFORCE,201.0,10000,0.99,custom,0.0,none,0.01,0.5,-1443.6101,-1030.6,14.5993,25
REINFORCE,202.0,10000,0.99,custom,0.0,none,0.001,0.99,-994.0759,-213.85,14.7695,28
REINFORCE,203.0,10000,0.99,custom,0.0,none,0.001,0.5,-937.8238,-347.5,14.8529,27
REINFORCE,204.0,10000,0.75,default,0.0,none,0.1,0.99,-326.5158,-218.8,14.848,27
REINFORCE,205.0,10000,0.75,default,0.0,none,0.1,0.5,-814.2487,-609.85,15.2435,32
REINFORCE,206.0,10000,0.75,default,0.0,none,0.01,0.99,-192.6463,-100.0,14.8853,27
REINFORCE,207.0,10000,0.75,default,0.0,none,0.01,0.5,-378.9495,-352.45,14.95,32
REINFORCE,208.0,10000,0.75,default,0.0,none,0.001,0.99,-366.8688,-100.2,14.817,27
REINFORCE,209.0,10000,0.75,default,0.0,none,0.001,0.5,-865.266,-337.6,14.749,28
REINFORCE,210.0,10000,0.75,custom,0.0,none,0.1,0.99,-255.7434,-169.3,14.8349,28
REINFORCE,211.0,10000,0.75,custom,0.0,none,0.1,0.5,-841.0815,-812.8,14.9726,25
REINFORCE,212.0,10000,0.75,custom,0.0,none,0.01,0.99,-180.5997,-100.0,14.7268,26
REINFORCE,213.0,10000,0.75,custom,0.0,none,0.01,0.5,-364.0201,-216.95,14.3729,27
REINFORCE,214.0,10000,0.75,custom,0.0,none,0.001,0.99,-416.3647,-124.75,14.5795,27
REINFORCE,215.0,10000,0.75,custom,0.0,none,0.001,0.5,-968.651,-397.0,14.8132,26
REINFORCE,216.0,10000,0.5,default,0.0,none,0.1,0.99,-109.7581,-100.0,14.6815,25
REINFORCE,217.0,10000,0.5,default,0.0,none,0.1,0.5,-856.6874,-595.0,14.5557,27
REINFORCE,218.0,10000,0.5,default,0.0,none,0.01,0.99,-158.6657,-100.0,14.2777,26
REINFORCE,219.0,10000,0.5,default,0.0,none,0.01,0.5,-450.3641,-100.0,14.3839,31
REINFORCE,220.0,10000,0.5,default,0.0,none,0.001,0.99,-331.1233,-100.0,14.464,24
REINFORCE,221.0,10000,0.5,default,0.0,none,0.001,0.5,-921.5475,-208.9,14.4973,26
REINFORCE,222.0,10000,0.5,custom,0.0,none,0.1,0.99,-101.575,-100.0,14.1925,23
REINFORCE,223.0,10000,0.5,custom,0.0,none,0.1,0.5,-273.1408,-149.5,14.3938,31
REINFORCE,224.0,10000,0.5,custom,0.0,none,0.01,0.99,-163.9933,-100.0,15.0238,25
REINFORCE,225.0,10000,0.5,custom,0.0,none,0.01,0.5,-520.6149,-154.45,14.9512,27
REINFORCE,226.0,10000,0.5,custom,0.0,none,0.001,0.99,-320.3062,-97.75,14.7251,27
REINFORCE,227.0,10000,0.5,custom,0.0,none,0.001,0.5,-946.5587,-322.75,14.8178,25
REINFORCE,228.0,10000,0.25,default,0.0,none,0.1,0.99,-102.0298,-100.0,14.3103,25
REINFORCE,229.0,10000,0.25,default,0.0,none,0.1,0.5,-315.2982,-278.2,14.5191,26
REINFORCE,230.0,10000,0.25,default,0.0,none,0.01,0.99,-163.766,-98.6,14.3956,23
REINFORCE,231.0,10000,0.25,default,0.0,none,0.01,0.5,-556.1269,-144.55,14.7386,29
REINFORCE,232.0,10000,0.25,default,0.0,none,0.001,0.99,-316.6781,-100.0,14.7648,21
REINFORCE,233.0,10000,0.25,default,0.0,none,0.001,0.5,-924.0072,-194.05,14.702,24
REINFORCE,234.0,10000,0.25,custom,0.0,none,0.1,0.99,-102.2774,-96.6,14.6933,22
REINFORCE,235.0,10000,0.25,custom,0.0,none,0.1,0.5,-250.2703,-159.4,15.0442,27
REINFORCE,236.0,10000,0.25,custom,0.0,none,0.01,0.99,-153.4395,-99.5,14.832,25
REINFORCE,237.0,10000,0.25,custom,0.0,none,0.01,0.5,-691.9172,-174.25,14.5511,27
REINFORCE,238.0,10000,0.25,custom,0.0,none,0.001,0.99,-312.8325,-98.65,14.6981,25
REINFORCE,239.0,10000,0.25,custom,0.0,none,0.001,0.5,-997.1807,-283.15,14.8995,28
