exp_id,alg,episodes,gamma,reward_signal,epsilon,epsilon_decay,lr,lr_decay,reward_train,reward_test,time,optimality
actor_critic,80.0,10000,0.75,default,0.0,none,0.001,0,-106.4415,-95.55,19.7092,11
actor_critic,81.0,10000,0.75,custom,0.0,none,0.1,0,-83.2422,-77.05,16.8948,16
actor_critic,82.0,10000,0.75,custom,0.0,none,0.01,0,-85.0964,-88.25,17.219,6
actor_critic,83.0,10000,0.75,custom,0.0,none,0.001,0,-105.9235,-102.55,19.7068,13
actor_critic,84.0,10000,0.5,default,0.0,none,0.1,0,-96.7885,-97.1,19.4125,24
actor_critic,85.0,10000,0.5,default,0.0,none,0.01,0,-96.9762,-88.35,19.3281,16
actor_critic,86.0,10000,0.5,default,0.0,none,0.001,0,-106.6785,-100.0,19.6757,16
actor_critic,87.0,10000,0.5,custom,0.0,none,0.1,0,-94.1001,-93.8,18.5804,21
actor_critic,88.0,10000,0.5,custom,0.0,none,0.01,0,-96.3728,-95.7,19.6786,12
actor_critic,89.0,10000,0.5,custom,0.0,none,0.001,0,-106.4308,-99.95,20.2749,20
actor_critic,90.0,10000,0.25,default,0.0,none,0.1,0,-97.5749,-94.3,19.7974,21
actor_critic,91.0,10000,0.25,default,0.0,none,0.01,0,-98.7399,-94.75,19.7719,19
actor_critic,92.0,10000,0.25,default,0.0,none,0.001,0,-106.7439,-104.95,19.9004,21
actor_critic,93.0,10000,0.25,custom,0.0,none,0.1,0,-96.8969,-99.25,19.8843,20
actor_critic,94.0,10000,0.25,custom,0.0,none,0.01,0,-98.4666,-98.15,20.0906,22
actor_critic,95.0,10000,0.25,custom,0.0,none,0.001,0,-106.8943,-96.85,20.1241,21
